state,year,month,tavg
Arizona,1958,9,69.7
Arizona,1958,10,76.5
Arizona,1958,11,80.1
Arizona,1958,12,79.5
Arizona,1958,1,72.2
Arizona,1958,2,62.8
Arizona,1958,3,48.9
Arizona,1958,4,46.1
Arizona,1959,5,43.2
Arizona,1959,6,42.8
Arizona,1959,7,50.3
Arizona,1959,8,60.5
Arizona,1959,9,64.4
Arizona,1959,10,77.9
Arizona,1959,11,82
Arizona,1959,12,76.5
Arizona,1959,1,71.1
Arizona,1959,2,61.5
Arizona,1959,3,49.4
Arizona,1959,4,42.8
Arizona,1960,5,36.1
Arizona,1960,6,40.4
Arizona,1960,7,52.9
Arizona,1960,8,58.2
Arizona,1960,9,65.3
Arizona,1960,10,77.9
Arizona,1960,11,81.2
Arizona,1960,12,79.3
Arizona,1960,1,74.2
Arizona,1960,2,59.7
Arizona,1960,3,50.2
Arizona,1960,4,39.5
Arizona,1961,5,42.1
Arizona,1961,6,46
Arizona,1961,7,49.4
Arizona,1961,8,57.8
Arizona,1961,9,65.1
Arizona,1961,10,77.9
Arizona,1961,11,80.9
Arizona,1961,12,77.4
Arizona,1961,1,69.1
Arizona,1961,2,59.7
Arizona,1961,3,46.6
Arizona,1961,4,39.1
Arizona,1962,5,38.8
Arizona,1962,6,45
Arizona,1962,7,44.7
Arizona,1962,8,61.6
Arizona,1962,9,63.3
Arizona,1962,10,73.2
Arizona,1962,11,79
Arizona,1962,12,79.9
Arizona,1962,1,73.4
Arizona,1962,2,62.1
Arizona,1962,3,53
Arizona,1962,4,44
Arizona,1963,5,37.3
Arizona,1963,6,49.2
Arizona,1963,7,48.6
Arizona,1963,8,54.5
Arizona,1963,9,68.2
Arizona,1963,10,71.6
Arizona,1963,11,81.5
Arizona,1963,12,76.7
Arizona,1963,1,73.9
Arizona,1963,2,64.6
Arizona,1963,3,50.3
Arizona,1963,4,41.1
Arizona,1964,5,37.4
Arizona,1964,6,39.1
Arizona,1964,7,45
Arizona,1964,8,54.2
Arizona,1964,9,64.3
Arizona,1964,10,72.7
Arizona,1964,11,80.9
Arizona,1964,12,76.7
Arizona,1964,1,70.4
Arizona,1964,2,64.8
Arizona,1964,3,45.8
Arizona,1964,4,41.9
Arizona,1965,5,43.3
Arizona,1965,6,43
Arizona,1965,7,46.4
Arizona,1965,8,54.8
Arizona,1965,9,61.8
Arizona,1965,10,69
Arizona,1965,11,78.8
Arizona,1965,12,77.9
Arizona,1965,1,68.6
Arizona,1965,2,63.3
Arizona,1965,3,52.6
Arizona,1965,4,42.2
Arizona,1966,5,37.8
Arizona,1966,6,39.2
Arizona,1966,7,50.9
