state,year,month,pcp
Alabama,2000,5,1.3
Alabama,2000,6,3.7
Alabama,2000,7,2.2
Alabama,2000,8,2.3
Alabama,2000,9,3.5
Alabama,2000,10,0.8
Alabama,2000,11,7.7
Alabama,2000,12,4.2
Alabama,2001,1,4.6
Alabama,2001,2,4.1
Alabama,2001,3,10.1
Alabama,2001,4,3.8
Alabama,2001,5,4
Alabama,2001,6,7.1
Alabama,2001,7,3.9
Alabama,2001,8,5.4
Alabama,2001,9,4.8
Alabama,2001,10,3.2
Alabama,2001,11,3.4
Alabama,2001,12,4.1
Alabama,2002,1,5.1
Alabama,2002,2,2.9
Alabama,2002,3,5.7
Alabama,2002,4,2.1
Alabama,2002,5,4
Alabama,2002,6,3.7
Alabama,2002,7,5.3
Alabama,2002,8,3.2
Alabama,2002,9,7.5
Alabama,2002,10,5.5
Alabama,2002,11,4.8
Alabama,2002,12,6.5
Alabama,2003,1,2.3
Alabama,2003,2,6.7
Alabama,2003,3,4.6
Alabama,2003,4,6.4
Alabama,2003,5,8.4
Alabama,2003,6,8.1
Alabama,2003,7,7.7
Alabama,2003,8,5.7
Alabama,2003,9,3.7
Alabama,2003,10,1.6
Alabama,2003,11,4.6
Alabama,2003,12,3.4
Alabama,2004,1,3.2
Alabama,2004,2,7
Alabama,2004,3,2.2
Alabama,2004,4,3.3
Alabama,2004,5,4
Alabama,2004,6,7.5
Alabama,2004,7,4.4
Alabama,2004,8,4.4
Alabama,2004,9,6.6
Alabama,2004,10,3.8
Alabama,2004,11,8.1
Alabama,2004,12,4.8
Alabama,2005,1,2.8
Alabama,2005,2,4.9
Alabama,2005,3,5.8
Alabama,2005,4,7.6
Alabama,2005,5,2.8
Alabama,2005,6,6.3
Alabama,2005,7,9.1
Alabama,2005,8,6
Alabama,2005,9,3.2
Alabama,2005,10,0.6
Alabama,2005,11,3.5
Alabama,2005,12,3.9
Alabama,2006,1,5.2
Alabama,2006,2,5
Alabama,2006,3,2.9
Alabama,2006,4,3
Alabama,2006,5,4.4
Alabama,2006,6,2
Alabama,2006,7,3.3
Alabama,2006,8,3.9
Alabama,2006,9,3.5
Alabama,2006,10,5.1
Alabama,2006,11,4.8
Alabama,2006,12,4
Alabama,2007,1,4.3
Alabama,2007,2,2.6
Alabama,2007,3,1.5
Alabama,2007,4,3.9
Alabama,2007,5,0.7
Alabama,2007,6,2.7
Alabama,2007,7,5.2
Alabama,2007,8,2.6
Alabama,2007,9,3.1
Alabama,2007,10,3.9
Alabama,2007,11,2.7
Alabama,2007,12,4.2
Alabama,2008,1,4
Alabama,2008,2,5.7
Alabama,2008,3,4
Alabama,2008,4,4.5
Alabama,2008,5,4.4
Alabama,2008,6,2.6
Alabama,2008,7,4
Alabama,2008,8,8.8
Alabama,2008,9,1.6
Alabama,2008,10,3
Alabama,2008,11,3.1
Alabama,2008,12,6.7
Alabama,2009,1,4.4
