state,year,month,tmin
Alabama,2003,2,37.2
Alabama,2003,3,46.9
Alabama,2003,4,50.8
Alabama,2003,5,61.6
Alabama,2003,6,65.7
Alabama,2003,7,69.2
Alabama,2003,8,69.9
Alabama,2003,9,61.6
Alabama,2003,10,51.1
Alabama,2003,11,45.6
Alabama,2003,12,31.6
Alabama,2004,1,32.6
Alabama,2004,2,36
Alabama,2004,3,45.4
Alabama,2004,4,47.1
Alabama,2004,5,61.3
Alabama,2004,6,67.9
Alabama,2004,7,68.8
Alabama,2004,8,65.6
Alabama,2004,9,63.9
Alabama,2004,10,58.5
Alabama,2004,11,48
Alabama,2004,12,33.4
Alabama,2005,1,38.1
Alabama,2005,2,40.8
Alabama,2005,3,41.7
Alabama,2005,4,47.8
Alabama,2005,5,55.4
Alabama,2005,6,66.9
Alabama,2005,7,71.2
Alabama,2005,8,71
Alabama,2005,9,65.2
Alabama,2005,10,51.1
Alabama,2005,11,42.7
Alabama,2005,12,31.3
Alabama,2006,1,39.2
Alabama,2006,2,34.8
Alabama,2006,3,43
Alabama,2006,4,53.7
Alabama,2006,5,58.5
Alabama,2006,6,64.7
Alabama,2006,7,69.8
Alabama,2006,8,71
Alabama,2006,9,60.7
Alabama,2006,10,48.8
Alabama,2006,11,39.8
Alabama,2006,12,36.9
Alabama,2007,1,36.4
Alabama,2007,2,32.1
Alabama,2007,3,45.4
Alabama,2007,4,46.8
Alabama,2007,5,57
Alabama,2007,6,65.8
Alabama,2007,7,69.2
Alabama,2007,8,71.9
Alabama,2007,9,64.5
Alabama,2007,10,54.6
Alabama,2007,11,39.9
Alabama,2007,12,40.6
Alabama,2008,1,32.1
Alabama,2008,2,36.1
Alabama,2008,3,41.2
Alabama,2008,4,50.6
Alabama,2008,5,58.5
Alabama,2008,6,66.8
Alabama,2008,7,68.4
Alabama,2008,8,68.4
Alabama,2008,9,64.2
Alabama,2008,10,50
Alabama,2008,11,37.5
Alabama,2008,12,39.1
Alabama,2009,1,33.8
Alabama,2009,2,34.8
Alabama,2009,3,45.6
Alabama,2009,4,48.6
Alabama,2009,5,62.2
Alabama,2009,6,68
Alabama,2009,7,67.3
Alabama,2009,8,68.1
Alabama,2009,9,66.6
Alabama,2009,10,52.9
Alabama,2009,11,41.2
Alabama,2009,12,35.5
Alabama,2010,1,29.2
Alabama,2010,2,30.3
Alabama,2010,3,39.7
Alabama,2010,4,49.7
Alabama,2010,5,62.3
Alabama,2010,6,70.1
Alabama,2010,7,71.9
Alabama,2010,8,72.6
Alabama,2010,9,63.1
Alabama,2010,10,48.4
Alabama,2010,11,42.3
Alabama,2010,12,28.9
Alabama,2011,1,30.2
Alabama,2011,2,37.2
Alabama,2011,3,45.6
Alabama,2011,4,52.6
Alabama,2011,5,56.8
Alabama,2011,6,68.5
Alabama,2011,7,71.4
Alabama,2011,8,69.4
Alabama,2011,9,60.9
Alabama,2011,10,46.6
Alabama,2011,11,43.1
Alabama,2011,12,38.4
Alabama,2012,1,38
Alabama,2012,2,41.8
Alabama,2012,3,52.8
Alabama,2012,4,52.4
Alabama,2012,5,61.4
Alabama,2012,6,65.3
